t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
-2.092028755,-0.65924,-1.287121255,0.90098074,-0.020415454,0.585940909,-0.12254902,-0.777850305,-0.495432433,-0.704580785,0.396245446
0.566511415,NaN,-0.037586123,-0.578778712,-0.59481624,-0.315059234,-0.054836587,-0.973478758,0.197606491,0.646737568,0.561696162
0.478511473,0.100827481,-0.019290123,-0.155145432,0.255727274,0.023159585,0.204859308,0.223221722,-0.33023076,0.152507326,0.021769418
0.115636347,0.456644789,0,0.453421156,NaN,0.662226595,-0.304923551,0.36687631,0.235045899,-0.1599847,0.700280112
1.140725952,0.59240025,-0.171139102,-0.138206388,-0.865860363,-0.477349863,-1.447430457,-2.120300752,-2.593897331,-0.227272727,0.099538143
-0.315306225,-0.872233888,-1.810123455,0.198613318,-1.481481481,0.575342466,0.539146742,0.841346154,0.29809221,-0.554609632,-0.209438988
-0.21075,-0.074474667,-0.566841931,-0.85107667,0.233958733,-0.140986432,-0.70114167,0.459633956,0.4375,-1.258785574,-0.873511894
NaN,-0.058364228,0.214898317,0.037767916,-0.150990888,0.08341675,-0.315202039,-0.564440784,NaN,-0.286030447,-0.058933487
0.450509294,0.823858257,0.07820427,-0.143086081,0.044159469,-0.990354301,0.107467453,-0.377837152,1.196194262,-0.653455617,-0.002212781
-0.232926914,-1.387377004,-0.760838358,-1.112421927,-0.823543951,0.905183279,0.001057899,-0.635188405,-1.078958158,0.348881077,0.001847309
NaN,0.264791763,0.351945347,0.916800078,-1.104935355,-0.236173136,-0.104563501,-0.49131666,0.338696283,0.323321155,0.69318411
NaN,-2.032520325,NaN,-0.717703349,-0.481741979,-0.93495935,-1,-1.136363636,-1.325716835,-0.642925256,-0.780008484
-0.167189523,-0.029029568,-0.063160554,0.264965416,0.142641383,0.010861205,-0.223483077,-0.209766954,-0.008162566,0.032008194,-0.234288987
-0.564516129,-0.433590236,0.198613318,-0.747710292,0.550582552,-0.267483708,0.548512954,-0.113260294,0.359248595,-0.535853973,0.836120401
-0.405856216,0.573622484,0.985536018,0.242663453,0.515243615,-0.395984448,-0.618424237,-0.050145775,-0.758490566,-1.006283034,-0.886229359
0.047264563,-0.18037518,-0.509725017,0.45121199,0.10766159,-0.171297506,-0.026571011,-0.978564772,-0.044006337,-0.170464325,-0.455478032
0,-0.14657,0.102096955,-0.429159098,0.238813474,0.132756133,-0.312742025,-0.244067797,0.145673961,0.712468193,0.267150458
